Molecule,SMILES,Radical,Carboxyl Group,Sulfur Group,Method,Dipole Moment,Mulliken,HOMO-LUMO,XYZ,Raw Frequencies,Single Point,Trans Thermal Corrections,Rot Thermal Corrections,Entropy,Gibbs Free Energy,Imaginary,Spin Contamination,Frequencies,ZPE,Enthalpy,Leowdin,IP,IP Spin Contamination,IP T1,IP imaginary,EA,EA Spin Contamination,EA T1,EA imaginary,EA_Enthalpy,IP_Enthalpy,IP vertical,EA vertical,T1,T1 EA vertical,T1 IP vertical,EA vertical Spin Contamination,IP vertical Spin Contamination,Method_Name,Method_Category
XJOKHVNVYSNCBZ-UHFFFAOYSA-M,[H]C([H])(C(F)(F)[C](F)F)S(=O)(=O)[O-],TRUE,FALSE,FALSE,9,6.7258,"[['C', -1.132415, 0.052801], ['C', 1.200867, 0.01273], ['F', -0.324997, 0.018822], ['F', -0.362153, 0.000514], ['C', 0.149821, 0.921015], ['F', -0.219051, 0.032495], ['F', -0.27659, 0.007468], ['S', 1.451872, -0.00026], ['O', -0.745248, -0.009276], ['O', -0.742917, -0.001524], ['O', -0.766692, -0.000291], ['H', 0.388312, -0.00252], ['H', 0.379193, -0.031973]]","(90.03747, 90.00781)","[('C', -0.4862445456, -0.3677818626, 0.6540416585), ('C', 0.9505780122, 0.0162704041, 0.4178055063), ('F', 1.1941876802, 1.2939021022, 0.8241334301), ('F', 1.7460577613, -0.7744215759, 1.2059195751), ('C', 1.4808460185, -0.1380756943, -1.002404145), ('F', 1.1984417592, 0.8498684686, -1.8128834246), ('F', 2.7861771966, -0.4060769478, -1.0564524546), ('S', -1.7092347692, 0.1704471673, -0.5755966716), ('O', -1.3090784167, -0.537956924, -1.7808405516), ('O', -1.5700190811, 1.6114915795, -0.6434909416), ('O', -2.9524904024, -0.2958059549, 0.0099393895), ('H', -0.7836331785, 0.0330710642, 1.6221201273), ('H', -0.5455880344, -1.4549318267, 0.6690085021)]","[51.8986, 62.8819, 99.9508, 133.6695, 192.6847, 237.1939, 274.5862, 292.2613, 321.5985, 373.292, 450.1863, 522.3827, 528.9789, 560.4859, 582.1023, 643.191, 687.0273, 792.3171, 832.4065, 878.9036, 1043.5537, 1074.1323, 1112.3324, 1197.2337, 1241.8182, 1280.2514, 1290.8275, 1299.4909, 1317.3532, 1406.2331, 1445.939, 3106.5134, 3172.1121]",-1138.838191,0.00141627,0.00141627,-0.048947,-1138.811019,FALSE,FALSE,"[100, 100, 100, 133.6695, 192.6847, 237.1939, 274.5862, 292.2613, 321.5985, 373.292, 450.1863, 522.3827, 528.9789, 560.4859, 582.1023, 643.191, 687.0273, 792.3171, 832.4065, 878.9036, 1043.5537, 1074.1323, 1112.3324, 1197.2337, 1241.8182, 1280.2514, 1290.8275, 1299.4909, 1317.3532, 1406.2331, 1445.939, 3106.5134, 3172.1121]",0.06513522410862654623489148806,-1138.762047,,,,,,,,,,,,,,,,,,,M06-2X,Hybrid meta GGA
XJOKHVNVYSNCBZ-UHFFFAOYSA-M,[H]C([H])(C(F)(F)[C](F)F)S(=O)(=O)[O-],TRUE,FALSE,FALSE,74,6.5043,"[['C', -1.663518, -0.051703], ['C', 1.553, 0.077097], ['F', -0.425883, 0.004169], ['F', -0.447165, 0.006407], ['C', 0.148588, 0.867144], ['F', -0.22774, 0.028441], ['F', -0.32985, 0.019996], ['S', 1.650631, 0.031613], ['O', -0.779751, 0.015872], ['O', -0.799779, 0.000923], ['O', -0.810571, 0.00017], ['H', 0.591584, -0.00257], ['H', 0.540453, 0.002441]]","(90.21929, 90.20276)","[('C', -0.4901554597, -0.3599757119, 0.6549130875), ('C', 0.9485347729, 0.0235453802, 0.420891096), ('F', 1.1947008255, 1.2941223503, 0.8297190375), ('F', 1.744296486, -0.7662643921, 1.1991695688), ('C', 1.4684976066, -0.1340846657, -1.0102873549), ('F', 1.2237131112, 0.8750901947, -1.8005741368), ('F', 2.7597381626, -0.4435834928, -1.0764965508), ('S', -1.7073712584, 0.167038456, -0.5765481437), ('O', -1.2911625352, -0.5340455608, -1.7703831545), ('O', -1.5801039022, 1.6003999491, -0.6419329392), ('O', -2.9424632678, -0.3082510204, -0.0039777098), ('H', -0.7859009298, 0.0368714746, 1.6291132577), ('H', -0.5423236115, -1.4508629613, 0.6776939422)]","[48.4616, 67.2706, 92.703, 125.9901, 189.9737, 230.2554, 271.6644, 291.2596, 317.1217, 366.8408, 448.3108, 521.8216, 528.1996, 558.9783, 579.9582, 639.7749, 684.8283, 781.2271, 824.4725, 871.5354, 1031.4149, 1086.1971, 1100.6442, 1189.5654, 1233.7298, 1277.9599, 1282.0156, 1315.8527, 1332.2741, 1388.2116, 1437.6303, 3092.0594, 3172.1311]",-1138.613478,0.00141627,0.00141627,-0.049165,-1138.586735,FALSE,FALSE,"[100, 100, 100, 125.9901, 189.9737, 230.2554, 271.6644, 291.2596, 317.1217, 366.8408, 448.3108, 521.8216, 528.1996, 558.9783, 579.9582, 639.7749, 684.8283, 781.2271, 824.4725, 871.5354, 1031.4149, 1086.1971, 1100.6442, 1189.5654, 1233.7298, 1277.9599, 1282.0156, 1315.8527, 1332.2741, 1388.2116, 1437.6303, 3092.0594, 3172.1311]",0.06486375742644128717718258263,-1138.537544,,,,,,,,,,,,,,,,,,,MN12SX,Range Seperated Hybrid meta GGA
XJOKHVNVYSNCBZ-UHFFFAOYSA-M,[H]C([H])(C(F)(F)[C](F)F)S(=O)(=O)[O-],TRUE,FALSE,FALSE,22,6.8757,"[['C', -0.616103, -0.005328], ['C', 0.034913, 0.012231], ['F', -0.078038, 0.014831], ['F', -0.112261, 0.000166], ['C', 0.181292, 0.898039], ['F', -0.046611, 0.030981], ['F', -0.135005, 0.023284], ['S', 0.146633, 0.014549], ['O', -0.29668, 0.011856], ['O', -0.32181, -0.003275], ['O', -0.268525, 0.00047], ['H', 0.257935, -0.001189], ['H', 0.254261, 0.003385]]","(90.04865000000001, 89.97559000000001)","[('C', -0.4823647096, -0.3690170659, 0.6616689555), ('C', 0.9543965914, 0.0115750922, 0.4189913619), ('F', 1.2038426547, 1.2882457148, 0.8312090551), ('F', 1.7519387849, -0.7861245246, 1.2031016058), ('C', 1.4789371552, -0.1383976874, -1.0033026497), ('F', 1.1871431687, 0.8539768932, -1.8079824169), ('F', 2.7901337612, -0.3915179467, -1.0583524719), ('S', -1.7124711991, 0.17120198, -0.5811261176), ('O', -1.3036866717, -0.556252772, -1.7944618625), ('O', -1.5659447021, 1.6286671589, -0.6553943387), ('O', -2.971600076, -0.2961588578, 0.0139841166), ('H', -0.7822743614, 0.0404890844, 1.6262995948), ('H', -0.5480503961, -1.4566870693, 0.6766651676)]",,-1138.687182,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,M06-2X/6-311++G**,Hybrid meta GGA
XJOKHVNVYSNCBZ-UHFFFAOYSA-M,[H]C([H])(C(F)(F)[C](F)F)S(=O)(=O)[O-],TRUE,FALSE,FALSE,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G4,Composite WFT
XJOKHVNVYSNCBZ-UHFFFAOYSA-M,[H]C([H])(C(F)(F)[C](F)F)S(=O)(=O)[O-],TRUE,FALSE,FALSE,66,7.171154632,"[('C', -0.460811, -0.03249), ('C', 1.134769, 0.103984), ('F', -0.281758, 0.027276), ('F', -0.299097, 0.000746), ('C', -0.064863, 0.80338), ('F', -0.163853, 0.056972), ('F', -0.220958, 0.046035), ('S', 1.145349, 0.003268), ('O', -0.678954, -0.00036), ('O', -0.668077, -0.000237), ('O', -0.68583, 6.8e-05), ('H', 0.113059, -0.003605), ('H', 0.131022, -0.005038)]","(89.16051, 89.097729)","[('C', -0.477986, -0.370953, 0.60767), ('C', 0.966968, 0.022989, 0.413106), ('F', 1.19158, 1.314197, 0.811906), ('F', 1.735805, -0.755908, 1.253495), ('C', 1.567054, -0.159093, -0.980547), ('F', 1.254227, 0.757822, -1.865921), ('F', 2.889562, -0.364387, -0.987973), ('S', -1.767105, 0.190433, -0.56733), ('O', -1.442743, -0.505591, -1.805631), ('O', -1.640231, 1.637281, -0.625977), ('O', -2.973772, -0.28946, 0.092718), ('H', -0.773258, -0.017007, 1.597042), ('H', -0.530099, -1.460322, 0.588742)]","[38.47, 46.85, 97.33, 116.58, 187.62, 230.5, 271.77, 283.15, 313.84, 364.1, 435.68, 514.14, 521.71, 552.49, 577.38, 632.19, 675.33, 767.05, 807.84, 860.72, 1013.38, 1054.94, 1067.37, 1171.39, 1218.97, 1254.41, 1261.05, 1282.81, 1295.34, 1377.56, 1439.51, 3090.61, 3155.04]",-1138.684427,0.00141627,0.00141627,-0.04839577,-1138.657679,FALSE,FALSE,"[100, 100, 100, 116.58, 187.62, 230.5, 271.77, 283.15, 313.84, 364.1, 435.68, 514.14, 521.71, 552.49, 577.38, 632.19, 675.33, 767.05, 807.84, 860.72, 1013.38, 1054.94, 1067.37, 1171.39, 1218.97, 1254.41, 1261.05, 1282.81, 1295.34, 1377.56, 1439.51, 3090.61, 3155.04]",0.06400391203643943657153993956,-1138.609253,"[('C', -0.147605, 0.00803), ('C', -0.482411, 0.062027), ('F', 0.083805, 0.037915), ('F', 0.055837, 0.00318), ('C', -0.215317, 0.619438), ('F', 0.138469, 0.128653), ('F', 0.09397, 0.128763), ('S', 0.376388, 0.002412), ('O', -0.372624, 0.007758), ('O', -0.365198, 0.000185), ('O', -0.380264, 0.000258), ('H', 0.107812, -0.000285), ('H', 0.107139, 0.001667)]",0.04243400924538982833873869334,N/A,N/A,FALSE,-0.059290275,N/A,N/A,FALSE,-1138.549767,-1138.56797,,,,,,,,revPBE0,Hybrid GGA
XJOKHVNVYSNCBZ-UHFFFAOYSA-M,[H]C([H])(C(F)(F)[C](F)F)S(=O)(=O)[O-],TRUE,FALSE,FALSE,30,7.212231015,"[('C', -0.811643, -0.030537), ('C', 1.138989, 0.08929), ('F', -0.304479, 0.023357), ('F', -0.330996, 0.000381), ('C', 0.096691, 0.838822), ('F', -0.197273, 0.051127), ('F', -0.252208, 0.035488), ('S', 1.278784, 0.002329), ('O', -0.709685, -0.001876), ('O', -0.700386, -0.000402), ('O', -0.716684, 9.1e-05), ('H', 0.258339, -0.00268), ('H', 0.250549, -0.005389)]","(89.754222, 89.706694)","[('C', -0.475783, -0.372811, 0.618564), ('C', 0.961834, 0.046361, 0.423248), ('F', 1.163955, 1.32571, 0.812959), ('F', 1.739229, -0.706962, 1.250169), ('C', 1.531661, -0.145275, -0.980877), ('F', 1.261344, 0.7807, -1.850399), ('F', 2.81823, -0.446914, -1.033023), ('S', -1.740617, 0.187122, -0.565613), ('O', -1.396044, -0.491183, -1.790421), ('O', -1.61604, 1.619162, -0.614197), ('O', -2.952034, -0.289234, 0.05267), ('H', -0.784266, -0.044592, 1.612181), ('H', -0.511468, -1.462084, 0.59604)]","[33.51, 51.95, 103.19, 128.25, 197.84, 241.95, 285.77, 298.04, 324.88, 388.16, 454.11, 538.55, 547.66, 570.6, 593.45, 661.1, 699.04, 783.85, 838.41, 896.84, 1070.65, 1105.13, 1127.22, 1215.81, 1269.18, 1312.58, 1323.64, 1336.61, 1351.69, 1427.39, 1474.82, 3113.94, 3173.57]",-1137.39342,0.00141627,0.00141627,-0.04784897,-1137.364226,FALSE,FALSE,"[100, 100, 103.19, 128.25, 197.84, 241.95, 285.77, 298.04, 324.88, 388.16, 454.11, 538.55, 547.66, 570.6, 593.45, 661.1, 699.04, 783.85, 838.41, 896.84, 1070.65, 1105.13, 1127.22, 1215.81, 1269.18, 1312.58, 1323.64, 1336.61, 1351.69, 1427.39, 1474.82, 3113.94, 3173.57]",0.06618969996564265139826327224,-1137.316348,"[('C', -0.144957, 0.009869), ('C', -0.496796, 0.060301), ('F', 0.089219, 0.033972), ('F', 0.061399, 0.002793), ('C', -0.228426, 0.624547), ('F', 0.142253, 0.12597), ('F', 0.100198, 0.128554), ('S', 0.362827, 0.00247), ('O', -0.370938, 0.009551), ('O', -0.362913, 0.000196), ('O', -0.379604, 0.000167), ('H', 0.114094, -5.8e-05), ('H', 0.113643, 0.001669)]",0.04810954321604372018096329279,N/A,N/A,FALSE,-0.057849714,N/A,N/A,FALSE,-1137.258356,-1137.269374,,,,,,,,PBEh-3c/Def2-TZVPD,
XJOKHVNVYSNCBZ-UHFFFAOYSA-M,[H]C([H])(C(F)(F)[C](F)F)S(=O)(=O)[O-],TRUE,FALSE,FALSE,7,6.769396063,"[('C', -2.018891, 0.050854), ('C', 1.320713, -0.019186), ('F', -0.380036, 0.021357), ('F', -0.398152, 0.005659), ('C', 0.211548, 0.87486), ('F', -0.249534, 0.044426), ('F', -0.323358, 0.019962), ('S', 1.112504, 0.005921), ('O', -0.582732, 0.005095), ('O', -0.588547, 0.00046), ('O', -0.586293, 0.00043), ('H', 0.769573, -0.002645), ('H', 0.713206, -0.007192)]","(89.129431, 89.100352)","[('C', -0.480836, -0.355109, 0.649141), ('C', 0.953678, 0.020526, 0.421033), ('F', 1.203427, 1.287298, 0.847411), ('F', 1.740086, -0.785495, 1.193485), ('C', 1.475652, -0.116959, -1.001903), ('F', 1.228947, 0.893082, -1.789224), ('F', 2.761948, -0.441633, -1.07477), ('S', -1.713515, 0.161878, -0.582336), ('O', -1.315629, -0.561089, -1.776421), ('O', -1.581394, 1.599524, -0.667328), ('O', -2.945082, -0.304845, 0.019922), ('H', -0.784374, 0.046595, 1.617163), ('H', -0.542907, -1.443773, 0.675128)]","[51.61, 63.12, 95.63, 121.44, 190.49, 241.12, 271.33, 290.32, 319.45, 372.98, 450.14, 521.18, 526.24, 558.6, 581.28, 639.45, 682.12, 772.7, 818.83, 870.47, 1022.5, 1082.34, 1092.14, 1184.25, 1221.18, 1267.34, 1272.45, 1303.04, 1321.99, 1385.5, 1428.61, 3062.92, 3131.27]",-1138.789857,0.00141627,0.00141627,-0.04794096,-1138.762278,FALSE,FALSE,"[100, 100, 100, 121.44, 190.49, 241.12, 271.33, 290.32, 319.45, 372.98, 450.14, 521.18, 526.24, 558.6, 581.28, 639.45, 682.12, 772.7, 818.83, 870.47, 1022.5, 1082.34, 1092.14, 1184.25, 1221.18, 1267.34, 1272.45, 1303.04, 1321.99, 1385.5, 1428.61, 3062.92, 3131.27]",0.06448050470389403274106041544,-1138.714311,"[('C', -0.147247, 0.0096), ('C', -0.491728, 0.06168), ('F', 0.080066, 0.033436), ('F', 0.056096, 0.004492), ('C', -0.216196, 0.618471), ('F', 0.133907, 0.119592), ('F', 0.092573, 0.125368), ('S', 0.391044, 0.003164), ('O', -0.370567, 0.021532), ('O', -0.364403, 0.000503), ('O', -0.382329, 0.000832), ('H', 0.10984, 4.2e-05), ('H', 0.108943, 0.001289)]",,,,,,,,,,,,,,,,,,M06,Hybrid meta GGA
XJOKHVNVYSNCBZ-UHFFFAOYSA-M,[H]C([H])(C(F)(F)[C](F)F)S(=O)(=O)[O-],TRUE,FALSE,FALSE,29,6.76873797,"[('C', 0.323688, -0.044207), ('C', 0.763856, 0.196518), ('F', -0.230521, 0.033874), ('F', -0.240631, -0.002482), ('C', -0.27011, 0.710478), ('F', -0.135876, 0.063131), ('F', -0.193711, 0.053386), ('S', 0.871748, 0.001395), ('O', -0.576002, 0.002766), ('O', -0.560166, -0.000247), ('O', -0.584851, 0.00041), ('H', -0.093138, -0.003824), ('H', -0.074285, -0.011198)]","(89.090867, 88.998408)","[('C', -0.48371, -0.371074, 0.636322), ('C', 0.945532, 0.00383, 0.407255), ('F', 1.188879, 1.288969, 0.819278), ('F', 1.738073, -0.783653, 1.21226), ('C', 1.501581, -0.149591, -0.99186), ('F', 1.182994, 0.805398, -1.830224), ('F', 2.82598, -0.338916, -1.018351), ('S', -1.718941, 0.178475, -0.573429), ('O', -1.348897, -0.542633, -1.780107), ('O', -1.559712, 1.616708, -0.649105), ('O', -2.955701, -0.269175, 0.038695), ('H', -0.768823, 0.016889, 1.61062), ('H', -0.547256, -1.455226, 0.649944)]","[47.61, 57.32, 99.15, 127.6, 189.26, 229.71, 274.24, 287.51, 317.77, 373.71, 440.47, 511.96, 519.05, 545.93, 579.54, 629.05, 683.46, 774.52, 815.14, 864.01, 1004.48, 1050.83, 1059.46, 1174.02, 1218.92, 1247.13, 1269.65, 1295.02, 1307.52, 1374.04, 1450.44, 3098.43, 3162.06]",-1138.814621,0.00141627,0.00141627,-0.0480734,-1138.787412,FALSE,FALSE,"[100, 100, 100, 127.6, 189.26, 229.71, 274.24, 287.51, 317.77, 373.71, 440.47, 511.96, 519.05, 545.93, 579.54, 629.05, 683.46, 774.52, 815.14, 864.01, 1004.48, 1050.83, 1059.46, 1174.02, 1218.92, 1247.13, 1269.65, 1295.02, 1307.52, 1374.04, 1450.44, 3098.43, 3162.06]",0.06418721340366408600034965859,-1138.739312,"[('C', -0.147788, 0.007066), ('C', -0.485163, 0.065614), ('F', 0.077552, 0.041442), ('F', 0.05271, 0.002936), ('C', -0.208127, 0.607528), ('F', 0.132158, 0.125493), ('F', 0.088268, 0.128999), ('S', 0.381521, 0.003672), ('O', -0.366346, 0.015566), ('O', -0.359143, 0.00027), ('O', -0.374839, 0.000517), ('H', 0.10524, -0.000537), ('H', 0.103955, 0.001435)]",,,,,,,,,,,,,,,,,,B97M-V,meta-GGA
XJOKHVNVYSNCBZ-UHFFFAOYSA-M,[H]C([H])(C(F)(F)[C](F)F)S(=O)(=O)[O-],TRUE,FALSE,FALSE,69,7.075579959,"[('C', -0.585441, -0.01467), ('C', 0.9694, 0.087001), ('F', -0.253009, 0.02695), ('F', -0.27871, -0.000311), ('C', -0.025223, 0.776583), ('F', -0.140709, 0.066008), ('F', -0.208785, 0.052634), ('S', 1.065777, 0.004487), ('O', -0.644882, 0.00231), ('O', -0.632192, -0.000612), ('O', -0.655429, 5.3e-05), ('H', 0.199598, -0.002024), ('H', 0.189605, 0.001592)]","(89.037699, 88.999867)","[('C', -0.488864, -0.373792, 0.634141), ('C', 0.953665, 0.012624, 0.412314), ('F', 1.191556, 1.299664, 0.820283), ('F', 1.737522, -0.778546, 1.226099), ('C', 1.522264, -0.147316, -0.997374), ('F', 1.206135, 0.803809, -1.846957), ('F', 2.846973, -0.353279, -1.021399), ('S', -1.730261, 0.178716, -0.570072), ('O', -1.370078, -0.536105, -1.786589), ('O', -1.577145, 1.621087, -0.642458), ('O', -2.965396, -0.274298, 0.050169), ('H', -0.780483, 0.01147, 1.613749), ('H', -0.545888, -1.464034, 0.639394)]","[48.89, 53.15, 100.44, 125.89, 191.01, 234.09, 274.78, 291.7, 318.64, 366.04, 441.61, 519.18, 527.5, 555.53, 577.32, 641.01, 681.06, 781.67, 828.47, 874.79, 1026.21, 1070.57, 1085.47, 1181.06, 1232.32, 1262.13, 1279.65, 1297.53, 1318.3, 1392.37, 1444.32, 3097.93, 3168.45]",-1138.827381,0.00141627,0.00141627,-0.04802663,-1138.79969,FALSE,FALSE,"[100, 100, 100.44, 125.89, 191.01, 234.09, 274.78, 291.7, 318.64, 366.04, 441.61, 519.18, 527.5, 555.53, 577.32, 641.01, 681.06, 781.67, 828.47, 874.79, 1026.21, 1070.57, 1085.47, 1181.06, 1232.32, 1262.13, 1279.65, 1297.53, 1318.3, 1392.37, 1444.32, 3097.93, 3168.45]",0.06467043553891166816515569488,-1138.751637,"[('C', -0.153725, 0.007346), ('C', -0.490676, 0.063282), ('F', 0.08751, 0.03617), ('F', 0.060672, 0.003555), ('C', -0.221414, 0.609406), ('F', 0.139509, 0.131599), ('F', 0.096055, 0.132583), ('S', 0.366091, 0.002741), ('O', -0.368384, 0.01154), ('O', -0.360812, 0.000258), ('O', -0.376617, 0.000359), ('H', 0.111388, -0.000261), ('H', 0.110404, 0.001424)]",,,,,,,,,,,,,,,,,,ωB97X-V,Range Seperated Hybrid meta GGA
XJOKHVNVYSNCBZ-UHFFFAOYSA-M,[H]C([H])(C(F)(F)[C](F)F)S(=O)(=O)[O-],TRUE,FALSE,FALSE,67,6.866329413,"[('C', -0.729448, -0.03089), ('C', 1.258189, 0.104688), ('F', -0.354619, 0.030097), ('F', -0.373183, 0.001182), ('C', 0.094793, 0.793028), ('F', -0.20432, 0.061234), ('F', -0.271715, 0.047676), ('S', 1.365651, 0.003083), ('O', -0.737161, -7.5e-05), ('O', -0.729164, -0.000241), ('O', -0.74264, 0.000359), ('H', 0.208133, -0.003946), ('H', 0.215484, -0.006194)]","(88.837709, 88.75405900000001)","[('C', -0.482589, -0.362315, 0.633134), ('C', 0.961839, 0.01554, 0.412921), ('F', 1.211602, 1.306606, 0.832627), ('F', 1.74822, -0.786832, 1.232119), ('C', 1.534847, -0.14908, -0.994333), ('F', 1.248385, 0.81797, -1.846661), ('F', 2.859931, -0.392888, -1.022977), ('S', -1.75708, 0.181226, -0.576943), ('O', -1.386693, -0.52581, -1.804402), ('O', -1.642308, 1.634914, -0.642932), ('O', -2.978104, -0.310748, 0.060661), ('H', -0.77427, 0.022391, 1.611358), ('H', -0.543781, -1.450975, 0.636729)]","[39.78, 45.47, 91.21, 111.08, 181.0, 223.61, 260.17, 274.15, 305.17, 351.57, 426.18, 498.16, 504.09, 532.0, 560.29, 611.7, 660.06, 746.8, 784.61, 845.95, 980.35, 1023.55, 1029.36, 1143.95, 1194.33, 1217.16, 1232.89, 1253.17, 1268.15, 1341.86, 1444.5, 3068.8, 3130.09]",-1139.121147,0.00141627,0.00141627,-0.04877839,-1139.095928,FALSE,FALSE,"[100, 100, 100, 111.08, 181.0, 223.61, 260.17, 274.15, 305.17, 351.57, 426.18, 498.16, 504.09, 532.0, 560.29, 611.7, 660.06, 746.8, 784.61, 845.95, 980.35, 1023.55, 1029.36, 1143.95, 1194.33, 1217.16, 1232.89, 1253.17, 1268.15, 1341.86, 1444.5, 3068.8, 3130.09]",0.06266043102376580206909225920,-1139.047117,"[('C', -0.14907, 0.006759), ('C', -0.470537, 0.063662), ('F', 0.076471, 0.039236), ('F', 0.048929, 0.003014), ('C', -0.208215, 0.613337), ('F', 0.131881, 0.127619), ('F', 0.086804, 0.129469), ('S', 0.388177, 0.002889), ('O', -0.370561, 0.012401), ('O', -0.364413, 0.000302), ('O', -0.379329, 0.000416), ('H', 0.105383, -0.00043), ('H', 0.10448, 0.001326)]",0.04392782195366042315770043876,N/A,N/A,FALSE,-0.05531955,N/A,N/A,[-27.63],-1138.99148,-1139.004304,,,,,,,,TPSSh,Hybrid meta GGA
